DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2010-01-01,17.78,17.61,1014.20,13.90,7.40,1.13,2.01,,18.28,17.00,0.20,,10000
2010-01-02,17.11,16.33,1015.60,15.30,8.69,1.23,2.01,,17.72,16.28,0.15,,10000
2010-01-03,18.39,16.83,1014.90,14.60,16.09,1.23,2.01,,20.50,15.78,0.08,,10000
2010-01-04,20.39,19.00,1010.80,10.50,16.90,1.39,2.98,,22.61,17.72,0.00,,10000
2010-01-05,22.39,20.94,1010.90,10.60,11.59,1.49,2.01,,25.22,19.61,0.03,,110000
2010-01-06,18.17,17.06,1016.20,15.90,15.61,1.75,2.01,,21.50,16.61,2.24,,10000
2010-01-07,15.28,14.44,1019.60,19.30,12.55,1.85,2.98,,17.28,13.00,0.08,,10000
2010-01-08,15.28,12.06,1018.50,18.20,14.00,1.49,2.98,,17.61,12.50,0.23,,0
2010-01-09,19.06,16.83,1013.30,13.00,16.09,1.85,2.98,,22.72,14.50,0.00,,10000
2010-01-10,20.28,18.11,1013.40,13.10,14.32,2.01,2.98,,23.50,16.11,0.00,,10000
2010-01-11,14.89,13.56,1018.90,18.60,9.33,2.11,4.01,,16.28,12.39,0.03,,10000
2010-01-12,12.94,8.50,1023.90,23.60,18.83,1.85,2.98,,14.39,11.61,0.13,,10000
2010-01-13,13.83,8.17,1025.30,25.00,18.19,1.39,2.98,,15.50,12.28,0.00,,0
2010-01-14,15.00,9.22,1023.70,23.40,18.19,0.98,2.01,,17.28,12.89,0.00,,0
2010-01-15,16.44,13.94,1022.40,22.10,16.25,1.13,2.98,,19.22,14.00,0.00,,10000
2010-01-16,15.06,13.06,1024.90,24.60,18.19,1.39,2.98,,16.72,13.72,0.56,,0
2010-01-17,16.89,13.89,1024.30,24.00,9.66,0.87,2.01,,21.72,13.11,0.00,,0
2010-01-18,17.89,14.28,1020.80,20.50,13.36,0.98,2.98,,23.50,13.11,0.00,,100000
2010-01-19,19.78,16.89,1018.20,17.90,18.19,1.39,2.98,,24.72,14.61,0.00,,0
2010-01-20,20.56,19.22,1017.30,17.00,9.82,0.87,2.01,,22.50,18.22,0.00,,110000
2010-01-21,20.22,20.11,1014.90,14.60,6.44,1.18,2.01,,20.72,19.50,2.69,,10000
2010-01-22,18.00,17.61,1017.50,17.10,5.95,2.37,4.01,,20.61,13.39,1.30,,10000
2010-01-23,13.22,12.44,1020.60,20.30,11.75,2.11,4.01,,13.72,12.89,3.71,,10000
2010-01-24,16.11,14.50,1019.40,19.10,18.02,1.23,2.01,,18.89,13.00,0.00,,10000
2010-01-25,16.44,14.83,1021.70,21.40,11.10,1.85,2.98,,18.00,15.50,0.00,,10000
2010-01-26,16.06,13.78,1020.80,20.50,17.22,1.29,2.01,,16.89,15.11,0.00,,0
2010-01-27,18.78,16.72,1016.70,16.40,16.09,0.77,2.01,,22.72,14.89,0.00,,0
2010-01-28,19.83,18.61,1015.60,15.30,9.33,1.23,2.01,,22.22,17.50,0.00,,10000
2010-01-29,21.11,19.17,1015.70,15.40,18.19,1.85,2.98,,24.22,19.28,0.00,,0
2010-01-30,22.89,19.61,1014.20,13.60,17.54,2.26,4.01,,26.72,19.39,0.00,,100000
2010-01-31,24.22,21.17,1013.60,13.30,19.96,2.52,2.98,,26.89,22.11,0.00,,0
2010-02-01,23.72,21.00,1012.20,11.90,19.96,2.52,4.01,,27.61,22.22,0.00,,0
2010-02-02,24.06,21.89,1011.10,10.80,19.96,2.57,4.01,,25.72,21.61,0.00,,0
2010-02-03,24.44,22.33,1012.40,12.10,18.19,2.26,4.01,,27.50,22.72,0.00,,0
2010-02-04,22.56,21.50,1012.70,12.40,16.09,2.52,4.01,,26.22,20.72,0.00,,10000
2010-02-05,22.00,21.50,1012.30,12.00,4.51,2.01,2.98,,23.00,20.50,0.03,,10000
2010-02-06,24.28,22.78,1012.50,12.20,18.19,2.37,4.01,,27.11,21.78,0.00,,0
2010-02-07,24.83,22.72,1012.90,12.60,16.25,2.11,2.98,,28.39,23.00,0.03,,10000
2010-02-08,25.11,22.83,1010.10,9.80,19.96,3.50,4.99,,28.39,23.00,0.00,,0
2010-02-09,24.78,22.56,1008.70,8.40,19.96,3.60,4.99,,28.39,22.78,0.00,,0
2010-02-10,25.00,22.50,1008.60,8.30,18.19,3.60,4.99,,30.00,22.00,0.00,,0
2010-02-11,25.72,22.44,1010.60,10.30,19.96,2.88,4.01,,30.78,22.00,0.00,,0
