DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2021-01-01,13.17,5.28,1024.80,24.50,13.68,1.34,2.98,,17.78,9.22,0.00,,0
2021-01-02,14.28,7.61,1021.50,21.20,12.23,,,,19.61,9.39,0.00,,0
2021-01-03,15.50,9.78,1022.10,21.80,13.04,1.34,2.98,,18.00,10.72,0.00,,0
2021-01-04,18.17,10.33,1020.60,20.30,9.98,0.98,0.98,,20.61,15.11,0.00,,0
2021-01-05,18.00,13.89,1020.70,20.40,9.98,0.98,0.98,,19.22,16.39,0.00,,0
2021-01-06,17.39,12.39,1018.40,18.10,9.17,0.98,0.98,,19.00,15.61,0.00,,0
2021-01-07,12.72,10.00,1021.20,20.90,8.53,1.23,2.01,,15.61,10.78,0.05,,10000
2021-01-08,10.22,3.17,1026.00,25.70,9.98,2.73,4.99,,12.50,8.78,0.00,,0
2021-01-09,10.72,1.22,1024.70,24.40,12.55,2.01,2.98,,13.00,8.39,0.00,,0
2021-01-10,11.22,1.22,1024.70,24.40,11.27,2.01,2.98,,12.50,9.11,0.00,,10000
2021-01-11,12.22,-1.00,1029.50,29.20,13.68,2.26,4.01,,14.50,9.61,0.00,,0
2021-01-12,14.11,1.89,1024.10,23.80,14.97,1.85,4.99,,18.50,10.00,0.00,,0
2021-01-13,15.28,7.39,1018.50,18.20,14.97,1.59,2.01,,21.00,9.50,0.00,,0
2021-01-14,15.83,12.50,1016.90,16.60,13.68,1.29,2.01,,20.61,11.00,0.00,,0
2021-01-15,16.83,14.78,1015.20,14.90,10.14,1.18,2.01,,19.61,13.00,0.00,,0
2021-01-16,18.33,14.67,1017.30,17.00,9.17,0.98,0.98,,21.50,15.61,0.00,,0
2021-01-17,14.89,8.22,1026.10,25.80,9.17,2.73,4.01,,18.28,12.78,0.00,,0
2021-01-18,14.44,6.78,1022.80,22.50,14.97,1.49,2.98,,19.00,11.22,0.00,,0
2021-01-19,15.89,10.39,1018.30,18.00,13.68,1.39,2.01,,22.11,9.78,0.00,,0
2021-01-20,17.83,15.33,1016.80,16.50,9.98,1.59,2.01,,21.50,12.50,0.00,,0
2021-01-21,18.44,16.22,1015.80,15.50,9.98,0.98,0.98,,20.28,16.61,0.00,,0
2021-01-22,18.56,15.22,1015.50,15.20,8.53,1.39,2.01,,22.78,15.28,0.00,,0
2021-01-23,18.89,15.28,1014.60,14.30,10.46,1.18,2.01,,24.11,15.22,0.00,,0
2021-01-24,20.61,17.22,1013.70,13.40,13.04,2.11,4.01,,24.78,16.00,0.00,,0
2021-01-25,20.22,18.44,1016.10,15.80,9.17,2.11,2.98,,24.61,19.11,0.00,,10000
2021-01-26,19.72,17.56,1016.60,16.30,9.98,1.44,2.01,,22.28,18.22,0.00,,0
2021-01-27,20.44,16.89,1017.10,16.80,13.68,1.85,4.01,,24.22,18.00,0.00,,0
2021-01-28,17.89,14.39,1021.60,21.30,11.27,1.75,2.98,,21.28,16.39,0.00,,0
2021-01-29,17.72,13.56,1020.60,20.30,13.68,1.23,2.98,,21.50,15.61,0.00,,0
2021-01-30,18.33,16.22,1020.00,19.70,9.98,1.39,2.01,,19.72,14.72,0.00,,10000
2021-01-31,19.44,17.44,1019.50,19.20,9.98,1.39,2.98,,20.72,18.50,0.00,,10000
2021-02-01,20.39,17.78,1018.60,18.30,13.04,2.11,2.98,,23.50,18.11,0.00,,10000
2021-02-02,20.00,17.56,1019.40,19.10,13.68,1.70,2.01,,23.22,17.72,0.00,,0
2021-02-03,20.50,17.39,1020.10,19.80,12.55,1.44,2.01,,24.39,18.39,0.00,,10000
2021-02-04,20.17,17.72,1019.90,19.60,12.55,1.23,2.01,,23.39,17.28,0.00,,0
2021-02-05,20.39,17.22,1018.60,18.30,12.55,1.59,2.01,,24.72,17.00,0.00,,0
2021-02-06,19.83,16.50,1017.20,16.80,12.55,1.18,2.01,,23.50,17.11,0.00,,0
2021-02-07,21.61,17.33,1016.60,16.30,13.68,1.65,2.01,,26.00,16.39,0.00,,0
2021-02-08,20.44,17.33,1017.40,17.10,13.68,1.85,2.98,,25.22,16.39,0.05,,10000
2021-02-09,15.78,14.89,1016.90,16.60,9.17,2.01,4.01,,16.39,14.78,3.00,,10000
2021-02-10,19.33,14.39,1016.20,15.90,17.54,,,,23.22,14.00,0.00,,0
2021-02-13,19.28,15.17,1017.20,16.90,9.98,0.98,2.01,,19.89,19.00,0.00,,0
2021-02-14,21.00,16.17,1015.90,15.60,13.68,1.39,2.01,,25.61,18.22,0.00,,0
2021-02-15,21.28,17.72,1013.90,13.60,12.55,1.65,2.01,,23.89,17.78,0.00,,0
2021-02-16,21.39,18.11,1016.30,16.00,11.27,1.29,2.01,,23.78,19.61,0.00,,0
2021-02-17,19.72,16.17,1020.90,20.60,13.68,1.49,2.01,,22.11,17.78,0.00,,0
2021-02-18,20.61,15.44,1023.80,23.50,11.27,1.13,2.01,,23.22,17.50,0.00,,0
2021-02-19,21.72,15.33,1023.80,23.50,14.97,1.75,2.01,,23.39,19.00,0.00,,0
2021-02-21,19.78,17.33,1016.30,16.00,12.07,1.59,2.98,,22.50,16.72,0.00,,0
2021-02-22,21.83,18.67,1015.30,15.00,11.27,1.65,2.01,,24.78,19.00,0.00,,0
2021-02-23,22.11,18.50,1013.80,13.50,12.55,1.59,2.01,,25.72,19.50,0.00,,0
2021-02-24,22.50,19.17,1010.50,10.20,13.68,2.62,4.99,,25.00,20.00,0.00,,0
2021-02-25,23.11,20.39,1006.90,6.60,12.55,1.85,4.01,,25.28,21.11,0.00,,10000
2021-02-26,23.50,20.61,1008.30,8.00,12.55,2.01,2.98,,26.39,20.61,0.00,,10000
2021-02-27,19.28,17.72,1012.30,12.00,9.98,1.39,2.98,,20.72,18.39,0.00,,10000
2021-02-28,19.56,18.89,1012.20,11.90,7.72,0.98,0.98,,20.78,17.39,0.81,,10000
2021-03-01,20.78,20.22,1015.50,15.20,7.72,1.59,2.01,,21.61,17.39,0.15,,10000
2021-03-02,18.61,14.89,1018.90,18.60,9.98,1.39,2.01,,19.78,16.89,0.81,,10000
2021-03-03,17.28,16.11,1018.40,18.10,9.98,1.13,2.01,,18.50,16.50,0.08,,10000
2021-03-04,18.22,17.17,1015.60,15.30,8.53,1.39,2.01,,20.28,16.00,0.43,,10000
2021-03-05,20.83,19.78,1012.60,12.30,9.01,1.18,2.01,,23.22,18.00,0.05,,10000
2021-03-06,22.67,21.22,1014.70,14.40,8.53,1.49,2.01,,25.61,20.50,0.05,,10000
