,USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
0,007018, 99999 ,WXPOD 7018                    ,     ,   ,      ,0.0,0.0,7018.0,2011-03-09,2013-07-30
1,007026, 99999 ,WXPOD 7026                    ,AF   ,   ,      ,0.0,0.0,7026.0,2012-07-13,2017-08-22
2,007070, 99999 ,WXPOD 7070                    ,AF   ,   ,      ,0.0,0.0,7070.0,2014-09-23,2015-09-26
3,008260, 99999 ,WXPOD8270                     ,     ,   ,      ,0.0,0.0,0.0,2005-01-01,2012-07-31
4,008268, 99999 ,WXPOD8278                     ,AF   ,   ,      ,32.95,65.567,1156.7,2010-05-19,2012-03-23
5,008307, 99999 ,WXPOD 8318                    ,AF   ,   ,      ,0.0,0.0,8318.0,2010-04-21,2010-04-21
6,008411, 99999 ,XM20                          ,     ,   ,      ,,,,2016-02-17,2016-02-17
7,008414, 99999 ,XM18                          ,     ,   ,      ,,,,2016-02-16,2016-02-17
8,008415, 99999 ,XM21                          ,     ,   ,      ,,,,2016-02-17,2020-03-14
9,008418, 99999 ,XM24                          ,     ,   ,      ,,,,2016-02-17,2016-02-17
10,010000, 99999 ,BOGUS NORWAY                  ,NO   ,   ,ENRS  ,,,,2001-09-27,2004-10-19
11,010010, 99999 ,JAN MAYEN(NOR-NAVY)           ,NO   ,   ,ENJA  ,70.933,-8.667,9.0,1931-01-01,2021-06-01
12,010013, 99999 ,ROST                          ,NO   ,   ,      ,,,,1986-11-20,1988-01-05
13,010014, 99999 ,SORSTOKKEN                    ,NO   ,   ,ENSO  ,59.792,5.341,48.8,1986-11-20,2021-06-01
14,010015, 99999 ,BRINGELAND                    ,NO   ,   ,      ,61.383,5.867000000000001,327.0,1987-01-17,2008-12-31
15,010016, 99999 ,RORVIK/RYUM                   ,NO   ,   ,      ,64.85,11.232999999999999,14.0,1987-01-16,1991-08-06
16,010017, 99999 ,FRIGG                         ,NO   ,   ,ENFR  ,59.98,2.25,48.0,1988-03-20,2005-02-28
17,010020, 99999 ,VERLEGENHUKEN                 ,NO   ,   ,      ,80.05,16.25,8.0,1986-11-09,2021-05-31
18,010030, 99999 ,HORNSUND                      ,NO   ,   ,      ,77.0,15.5,12.0,1985-06-01,2021-06-01
19,010040, 99999 ,NY-ALESUND II                 ,NO   ,   ,ENAS  ,78.917,11.933,8.0,1973-01-01,2014-05-23
20,010050, 99999 ,ISFJORD RADIO                 ,SV   ,   ,      ,78.067,13.633,9.0,1931-01-03,2004-10-30
21,010060, 99999 ,EDGEOYA                       ,NO   ,   ,      ,78.25,22.816999999999997,14.0,1973-01-01,2021-05-31
22,010070, 99999 ,NY-ALESUND                    ,SV   ,   ,      ,78.917,11.933,7.7,1973-01-06,2021-05-31
23,010071, 99999 ,LONGYEARBYEN                  ,SV   ,   ,      ,78.217,15.583,37.0,2005-02-10,2005-02-10
